"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrezid"
"ENSG00000103489",892.394945009382,-0.330270008890924,0.147340824261109,27.1571773383093,1.84760594750541e-05,0.00922293110405408,"XYLT1",64131
"ENSG00000108813",6.69828195070883,-1.1950705757993,0.276916852778224,27.1933743712685,1.81672036304532e-05,0.00922293110405408,"DLX4",1748
"ENSG00000087085",17.7567930671884,-0.335901626181436,0.228663961592728,26.8044920530822,2.17725216489092e-05,0.0106060579371469,"ACHE",43
"ENSG00000156467",56.0687948019287,0.273636566883131,0.137407465522784,26.74317086784,2.24026251788856e-05,0.0106808090427334,"UQCRB",7381
"ENSG00000181788",1173.71456324952,-0.299425124649535,0.171769151212539,26.5338703105253,2.46930057554367e-05,0.0115275181868297,"SIAH2",6478
"ENSG00000131711",14.931553941906,-0.00883383806196378,0.240329723032921,26.2485110446105,2.81951113044338e-05,0.0123881579237206,"MAP1B",4131
"ENSG00000124257",4.49765161101838,-1.2301930979668,0.294244702839377,26.1820137928652,2.90797032110434e-05,0.0125311151837127,"NEURL2",140825
"ENSG00000177666",1538.16684084091,-0.206814706723361,0.103700971449507,25.8002572360897,3.47187550783159e-05,0.0144069974776834,"PNPLA2",57104
"ENSG00000165323",5.95973754401238,1.90322851055728,0.656187981873708,25.3001698169189,4.37797504293924e-05,0.0173849069225978,"FAT3",120114
"ENSG00000125743",265.771375250865,-0.983774958153119,0.24247247395654,25.2703225892046,4.43894180596764e-05,0.0173849069225978,"SNRPD2",6633
"ENSG00000060709",10.0654944599866,-1.55178450314807,0.535674086838677,24.6923682755122,5.80066078101734e-05,0.0213083945542683,"RIMBP2",23504
"ENSG00000144485",10.9107841994101,-0.9422591946522,0.228792127335755,24.3393053793486,6.82906603266067e-05,0.0246092794616346,"HES6",55502
"ENSG00000198176",677.540129918258,-0.419797700013563,0.129473517509932,24.2769324120309,7.02871244887813e-05,0.0246092794616346,"TFDP1",7027
"ENSG00000115649",983.719730211194,-0.182101157585705,0.119507132723828,24.0992390650467,7.62982501481048e-05,0.024668276672835,"CNPPD1",27013
"ENSG00000169682",3.96676208587213,-0.30353638094466,0.23272103812777,24.0492694393255,7.80787849977679e-05,0.024668276672835,"SPNS1",83985
"ENSG00000159461",963.769577709559,-0.140256652957574,0.0871203528428867,24.1522874255124,7.44521267284566e-05,0.024668276672835,"AMFR",267
"ENSG00000197061",266.319870818522,-0.277893481088776,0.136012931902941,23.8129874740985,8.70730477865446e-05,0.0263666602000121,"H4C3",8364
"ENSG00000103257",292.779613859681,-0.439625822067458,0.165965733857254,23.7365430984869,9.01976813019738e-05,0.0269486619015284,"SLC7A5",8140
"ENSG00000170476",77.5878602153726,0.357841556569593,0.230873441941595,23.6357100234927,9.44900622822198e-05,0.0278596488897366,"MZB1",51237
"ENSG00000111666",347.60343695017,-0.105435053146491,0.143787466413517,23.4388588385054,0.000103462770081855,0.0293467563543571,"CHPT1",56994
"ENSG00000054793",117.001829862775,-0.430461662104639,0.115500247766026,23.3021734811043,0.000110185679395979,0.0308630087988138,"ATP9A",10079
"ENSG00000170396",119.289564566452,-1.06354434768434,0.369439746107818,22.5766876237428,0.000153825355176479,0.0391695290772106,"ZNF804A",91752
"ENSG00000196961",2656.3577622313,-0.186816006436522,0.113290831541316,22.5368668685574,0.00015666451936942,0.0394442533711231,"AP2A1",160
"ENSG00000178719",2894.94476269381,-0.232883209053023,0.129752084643705,22.3650665525934,0.000169521626539109,0.0417433033789929,"GRINA",2907
"ENSG00000126247",1011.01752019335,0.135456291998202,0.0629458960578808,22.234122843236,0.00018001922137897,0.0426086718593176,"CAPNS1",826
"ENSG00000101447",13.9394808399973,-0.936746823696887,0.231827677584199,22.2704750749256,0.00017704190112243,0.0426086718593176,"FAM83D",81610
"ENSG00000169429",34.7359460540865,-0.631217692775259,0.232460507771575,22.0839862876232,0.000192850906239807,0.0436710265752651,"CXCL8",3576
"ENSG00000136842",177.880435315177,-0.667197398880346,0.195949448593092,22.0836341178267,0.000192882046889302,0.0436710265752651,"TMOD1",7111
"ENSG00000166106",2.57901039976568,-1.02189523114807,0.363882493412121,22.1472343912404,0.000187338293262248,0.0436710265752651,"ADAMTS15",170689
"ENSG00000164850",36.2298694453911,-0.204499516244974,0.156269967294713,22.0368848759845,0.000197060435290764,0.0437201013266874,"GPER1",2852
"ENSG00000184792",1310.27908175397,-0.497422364097867,0.179983780269264,21.9597700770378,0.000204149897558395,0.0444135039270729,"OSBP2",23762
"ENSG00000178752",18.9584251919831,0.126178962115351,0.156386368327457,21.8098052743326,0.000218668792579027,0.0454080500130724,"ERFE",151176
"ENSG00000147689",11.3765483707467,-0.430037743563917,0.340368865757805,21.7878370663091,0.000220879929106787,0.0454080500130724,"FAM83A",84985
"ENSG00000178445",7.14799128912386,0.538517043625569,0.325701677096018,21.8342246233087,0.000216236696071914,0.0454080500130724,"GLDC",2731
"ENSG00000125319",14.7409366004541,-0.781115783386868,0.220129155389075,21.8653277156682,0.000213177723832839,0.0454080500130724,"HROB",78995
"ENSG00000125744",86.7374585240385,-0.434872791108472,0.106136383694974,21.7932695350744,0.00022033108742623,0.0454080500130724,"RTN2",6253
"ENSG00000204323",148.5648193769,-0.445517770487704,0.124434170180867,21.7227283777452,0.000227564287389326,0.0463569141074547,"SMIM5",643008
"ENSG00000172270",8826.34843651587,-0.374483246511396,0.150201922510797,21.6968047823552,0.000230281208089204,0.0464877595573232,"BSG",682
"ENSG00000105281",627.482101135629,-0.307125354348477,0.156497657491275,21.6551380171077,0.000234715633804259,0.0469598921632664,"SLC1A5",6510
"ENSG00000240682",122.09837960506,-0.140903156592681,0.103247178429634,21.553741034473,0.000245863750559466,0.0483273238818992,"ISY1",57461
